                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.54809,                0.36863,                0.89414,                0.57138,                0.43627,                0.39431,                 0.2022,                 2.4384,                 2.3972,                 3.1368,              0.0004424,              0.0004424,              0.0004424
                     62,                0.55484,                0.37502,                0.89417,                0.55868,                0.32843,                 0.2964,                0.15073,                 2.4528,                 3.0738,                 3.1736,               0.000416,               0.000416,               0.000416
                     63,                0.53235,                0.36476,                0.88822,                0.50825,                0.29412,                0.28083,                0.16175,                 2.4806,                 3.2333,                 3.1907,              0.0003896,              0.0003896,              0.0003896
                     64,                0.53633,                0.36051,                0.88732,                0.64254,                0.37745,                0.39274,                0.22354,                   2.46,                 2.4082,                 3.1814,              0.0003632,              0.0003632,              0.0003632
                     65,                 0.5338,                0.36273,                0.88941,                0.50495,                0.29608,                0.28924,                0.15769,                 2.5402,                 3.1541,                 3.1986,              0.0003368,              0.0003368,              0.0003368
                     66,                  0.512,                0.34018,                0.87129,                0.59972,                0.34706,                  0.351,                0.19258,                 2.4797,                 2.6721,                 3.3527,              0.0003104,              0.0003104,              0.0003104
                     67,                0.50512,                0.32268,                 0.8707,                0.48318,                0.28322,                0.26989,                0.13692,                 2.5029,                 2.8715,                 3.3717,               0.000284,               0.000284,               0.000284
                     68,                0.51074,                0.32608,                0.87326,                0.57046,                0.36066,                0.34585,                0.16541,                 2.4312,                 2.6395,                 3.3143,              0.0002576,              0.0002576,              0.0002576
                     69,                0.49405,                0.31395,                0.86156,                0.52148,                0.28526,                0.27651,                0.13089,                  2.566,                 2.8538,                 3.4131,              0.0002312,              0.0002312,              0.0002312
                     70,                0.48783,                0.30237,                0.86551,                0.51021,                0.21765,                  0.222,                0.11028,                 2.5427,                 3.1867,                 3.4369,              0.0002048,              0.0002048,              0.0002048
                     71,                0.49411,                0.31349,                0.86525,                0.46639,                0.25098,                0.23912,                0.12155,                 2.5488,                 3.0788,                 3.3146,              0.0001784,              0.0001784,              0.0001784
                     72,                0.48372,                0.30444,                0.86121,                0.59968,                0.34902,                0.36254,                0.18888,                 2.4582,                 2.3641,                 3.2262,               0.000152,               0.000152,               0.000152
                     73,                0.48838,                0.31318,                0.86413,                0.54282,                0.33627,                0.32375,                0.16792,                 2.5267,                 2.5111,                 3.3254,              0.0001256,              0.0001256,              0.0001256
                     74,                0.48046,                0.30452,                0.85831,                0.58779,                0.25882,                0.26357,                0.14011,                 2.5005,                 2.9257,                 3.3482,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                0.48429,                0.30523,                0.86571,                 0.5426,                0.25392,                0.25909,                 0.1369,                 2.5051,                 2.9496,                 3.3302,               7.28e-05,               7.28e-05,               7.28e-05
