                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.48737,                0.30815,                0.86835,                0.61443,                0.35294,                0.38294,                 0.2187,                 2.0751,                 2.4904,                 2.8693,              0.0006008,              0.0006008,              0.0006008
                     56,                0.48442,                0.30537,                0.86964,                0.61352,                0.36569,                0.38965,                0.20917,                 2.0735,                 2.4598,                 3.0314,              0.0005744,              0.0005744,              0.0005744
                     57,                0.48525,                0.30522,                0.86864,                0.60069,                0.42451,                0.44851,                0.23737,                 1.9598,                 2.2676,                 2.9381,               0.000548,               0.000548,               0.000548
                     58,                0.48326,                 0.3023,                0.86733,                 0.5755,                0.40196,                 0.4008,                0.19995,                 2.0925,                 2.2021,                 2.9371,              0.0005216,              0.0005216,              0.0005216
                     59,                0.48088,                0.30186,                0.86664,                0.52116,                 0.3902,                0.38053,                0.19899,                 2.0481,                 2.3396,                 2.9028,              0.0004952,              0.0004952,              0.0004952
                     60,                0.47903,                0.30044,                0.86712,                0.58189,                0.40196,                0.39893,                0.20795,                 2.0445,                 2.2776,                 2.9293,              0.0004688,              0.0004688,              0.0004688
                     61,                0.47696,                0.29619,                0.86504,                0.63846,                0.41176,                 0.4261,                0.22682,                 2.0213,                 2.1973,                 2.9123,              0.0004424,              0.0004424,              0.0004424
                     62,                0.47345,                0.29575,                0.86495,                0.55998,                 0.4049,                0.40639,                0.22032,                 2.0291,                 2.1968,                 2.8835,               0.000416,               0.000416,               0.000416
                     63,                0.47423,                 0.2951,                  0.866,                0.57609,                0.42745,                0.43579,                0.23618,                 2.0378,                 1.8515,                 2.8074,              0.0003896,              0.0003896,              0.0003896
                     64,                 0.4695,                0.29197,                0.86345,                0.58836,                0.44706,                0.44353,                0.22842,                 1.9924,                 1.9249,                  2.738,              0.0003632,              0.0003632,              0.0003632
                     65,                0.47194,                0.29096,                0.86286,                0.53342,                0.43627,                0.40514,                0.20972,                 2.0349,                 2.0626,                 2.7684,              0.0003368,              0.0003368,              0.0003368
                     66,                0.44899,                0.26245,                0.84838,                0.52638,                0.43235,                0.42044,                0.21366,                 2.1473,                 1.9358,                 3.0634,              0.0003104,              0.0003104,              0.0003104
                     67,                0.44086,                0.25684,                0.84676,                0.55202,                0.38417,                0.37281,                0.18713,                 2.2344,                 2.1271,                 3.1484,               0.000284,               0.000284,               0.000284
                     68,                0.43977,                 0.2562,                0.84683,                0.55355,                0.42545,                0.41761,                 0.2021,                 2.1909,                 2.0239,                 3.0846,              0.0002576,              0.0002576,              0.0002576
                     69,                0.43661,                0.25262,                0.84589,                0.57286,                 0.3902,                 0.3885,                0.18733,                  2.117,                 2.2254,                 2.9037,              0.0002312,              0.0002312,              0.0002312
                     70,                0.43538,                0.25003,                0.84418,                0.58927,                0.40368,                0.43131,                0.21528,                 2.0685,                 2.0413,                 2.8721,              0.0002048,              0.0002048,              0.0002048
                     71,                0.43041,                0.24507,                0.84229,                0.53048,                0.39608,                0.38533,                0.19118,                 2.1111,                 2.3161,                 3.0046,              0.0001784,              0.0001784,              0.0001784
                     72,                0.43123,                0.24678,                0.84216,                0.50883,                0.35686,                0.35163,                0.17055,                 2.1142,                  2.548,                 2.9649,               0.000152,               0.000152,               0.000152
                     73,                0.43164,                0.24499,                 0.8411,                0.54681,                0.38137,                0.37512,                0.18136,                 2.0984,                 2.4291,                 2.8965,              0.0001256,              0.0001256,              0.0001256
                     74,                0.43005,                0.24404,                0.84153,                0.58112,                0.38083,                0.37312,                0.17996,                 2.0853,                 2.4131,                 2.8904,               9.92e-05,               9.92e-05,               9.92e-05
                     75,                 0.4274,                 0.2432,                0.84239,                0.56682,                0.39118,                0.37862,                0.18082,                 2.0722,                 2.3368,                 2.9002,               7.28e-05,               7.28e-05,               7.28e-05
